"","date","Log Difference of Real GDP","Log Difference of the GDP Deflator"
"145","1983-01-01",0.0130924615764769,1.46867539893439e-05
"146","1983-04-01",0.0225009969974703,-9.27838040770436e-05
"147","1983-07-01",0.0197934978594851,0.00312093871246633
"148","1983-10-01",0.0206475577692267,0.000121307130232048
"149","1984-01-01",0.0193590940515644,0.00266147886899567
"150","1984-04-01",0.0171303428429574,0.00114684188196984
"151","1984-07-01",0.00959446664973562,0.00149765870799116
"152","1984-10-01",0.00817512056954506,0.000140980376323729
"153","1985-01-01",0.00964421278656502,0.00253923010761725
"154","1985-04-01",0.00876601927132903,-0.000849832230473984
"155","1985-07-01",0.0151558115392785,-0.00122845626159699
"156","1985-10-01",0.00740543225588652,-0.00163636808319062
"157","1986-01-01",0.00929173668691874,-0.0022179749730958
"158","1986-04-01",0.00449372755772082,-0.00336678263200705
"159","1986-07-01",0.00952481834191943,-0.00304857854966956
"160","1986-10-01",0.00535638627791712,-0.00166315986808887
"161","1987-01-01",0.00742408756966917,-0.000742878113808057
"162","1987-04-01",0.0107311933455332,-0.000138836367537809
"163","1987-07-01",0.00863869914502224,0.000522946383210635
"164","1987-10-01",0.0170247783375093,0.000944826190165022
"165","1988-01-01",0.00515296367477269,0.000841137803497814
"166","1988-04-01",0.0130531091978412,0.00275181575204873
"167","1988-07-01",0.00584218885709475,0.00497805738359643
"168","1988-10-01",0.0132369618135062,0.0017338832389015
"169","1989-01-01",0.0101146984436422,0.0035061309397059
"170","1989-04-01",0.00760370958888679,0.00377070893049382
"171","1989-07-01",0.00738149675026278,0.000480398112488675
"172","1989-10-01",0.00196852894478461,0.000326537257406034
"173","1990-01-01",0.0108686252710442,0.00399193775151814
"174","1990-04-01",0.00362251296646932,0.00442568345567068
"175","1990-07-01",0.000665008073680085,0.00184926011614842
"176","1990-10-01",-0.00914548689537398,0.000750495617941396
"177","1991-01-01",-0.00468941632256836,0.00312241999096474
"178","1991-04-01",0.00776694733046668,0.000710489369669418
"179","1991-07-01",0.00504024267269543,0.00119945461823186
"180","1991-10-01",0.00347892821056917,-0.000621066677668543
"181","1992-01-01",0.0118994366222367,-0.00281366842980221
"182","1992-04-01",0.0107851639400742,-0.000503446839101518
"183","1992-07-01",0.00983420460124229,-0.00159295910297964
"184","1992-10-01",0.0103776127019124,0.000414984251182778
"185","1993-01-01",0.00167260349548748,-0.000818359072171249
"186","1993-04-01",0.00580730118683626,-0.000458029141937552
"187","1993-07-01",0.00476179197899285,-0.000421967168310972
"188","1993-10-01",0.0135094680855907,-0.000889696300466305
"189","1994-01-01",0.00965539902655799,-0.00153569758591266
"190","1994-04-01",0.013459472215624,-0.00145947391278048
"191","1994-07-01",0.00582813578468766,-0.000519380609062251
"192","1994-10-01",0.0113901299334209,-0.000806225568802898
"193","1995-01-01",0.00354128366946327,-0.000793771550192087
"194","1995-04-01",0.00297896723994029,-0.00136693941920895
"195","1995-07-01",0.00847079663412664,-0.00122344177227353
"196","1995-10-01",0.00676726062767941,-0.00130276722973158
"197","1996-01-01",0.00746156138186116,-0.00127068001685931
"198","1996-04-01",0.0165409159115111,-0.00192311828895515
"199","1996-07-01",0.00892992306181561,-0.00275829126178648
"200","1996-10-01",0.0103302783474408,-0.00066231466483257
"201","1997-01-01",0.00643489522997065,-2.86408801588728e-05
"202","1997-04-01",0.0164834135590901,-0.00392049911592632
"203","1997-07-01",0.0124308955973991,-0.00158806701419883
"204","1997-10-01",0.00855149662873345,-0.00260769127787482
"205","1998-01-01",0.00994518148361756,-0.0044041526078392
"206","1998-04-01",0.00921547812371237,-0.0034729499122933
"207","1998-07-01",0.0124478767364753,-0.00151356556521999
"208","1998-10-01",0.016029638409595,-0.00302351599224397
"209","1999-01-01",0.00942020898567186,-0.00198884789710257
"210","1999-04-01",0.00766215697873385,-0.00210659143344412
"211","1999-07-01",0.013011628748874,-0.0022751264827696
"212","1999-10-01",0.0168530367314723,-0.00030603202556878
"213","2000-01-01",0.0036110737373285,0.00114110373734364
"214","2000-04-01",0.0181460075458286,0.000429741616658061
"215","2000-07-01",0.00133466178942498,0.000101834067129436
"216","2000-10-01",0.00620957650621357,-0.000283754300556568
"217","2001-01-01",-0.00285585060820281,0.000562433418510273
"218","2001-04-01",0.00582853891868673,0.000528022922624436
"219","2001-07-01",-0.00415901766918125,-0.00145349764658911
"220","2001-10-01",0.00272001114104015,-0.00215189564889144
"221","2002-01-01",0.00870712489066605,-0.00212272601108782
"222","2002-04-01",0.00603905351607459,-0.00182136420906472
"223","2002-07-01",0.00443586033733467,-0.000759068832220084
"224","2002-10-01",0.00154702909803817,0.000313435850248563
"225","2003-01-01",0.00553233578478718,-0.000775178351874817
"226","2003-04-01",0.00856580668018303,-0.00234705888610924
"227","2003-07-01",0.0168395105203327,0.000153484791588439
"228","2003-10-01",0.0114162563468234,0.00066893256236603
"229","2004-01-01",0.00532327929739118,0.00221410512356769
"230","2004-04-01",0.00759187231222036,0.00295662738756641
"231","2004-07-01",0.00940887783409394,0.00136796168483686
"232","2004-10-01",0.00996690607987993,0.00256751491402858
"233","2005-01-01",0.0110088153733212,0.0028027731965064
"234","2005-04-01",0.00460499384190882,0.00191831523727373
"235","2005-07-01",0.0088738491638658,0.00397296756000732
"236","2005-10-01",0.00629477749733454,0.0030052083487575
"237","2006-01-01",0.0132151650273595,0.00198203192189658
"238","2006-04-01",0.00233427086425486,0.00337593487413397
"239","2006-07-01",0.00154513358650021,0.00205353873530439
"240","2006-10-01",0.00848257333192137,-0.00121031683510728
"241","2007-01-01",0.00235216256579029,0.00491781288679717
"242","2007-04-01",0.00571237726457419,0.00160559560496242
"243","2007-07-01",0.00541800931709169,0.000320816098460991
"244","2007-10-01",0.0060600200632539,-0.000815191031081344
"245","2008-01-01",-0.00576357599540422,-0.0010706907938764
"246","2008-04-01",0.00515058392736911,0.000615126701573513
"247","2008-07-01",-0.00542826229929361,0.00271808949870845
"248","2008-10-01",-0.0218756492097896,-0.00155323078891591
"249","2009-01-01",-0.0112904483888769,-0.00475205957675121
"250","2009-04-01",-0.0014409351409217,-0.00607326088910303
"251","2009-07-01",0.00363449821007222,-0.00353776172082683
"252","2009-10-01",0.0109239567672041,-0.00118861534089696
"253","2010-01-01",0.00384041355950338,-0.00202021786115469
"254","2010-04-01",0.00917803571976883,0.000129562295347316
"255","2010-07-01",0.00734507153790886,-0.0015776002279683
"256","2010-10-01",0.00500647205012683,0.00115288095089589
"257","2011-01-01",-0.00240730776493869,0.00093334939799132
"258","2011-04-01",0.00712429510349466,0.00214833923356019
"259","2011-07-01",-0.000277825214336502,0.0020521532946245
"260","2011-10-01",0.0115261676529688,-0.00282264151917101
"261","2012-01-01",0.00779943284988072,0.00191568117920312
"262","2012-04-01",0.00429278790026366,-0.00033926959402769
"263","2012-07-01",0.00134857236196773,0.000860800043549419
"264","2012-10-01",0.00113808459377296,0.00086227262216911
"265","2013-01-01",0.00881775992890077,-0.000223011266667793
"266","2013-04-01",0.00123320403656102,-0.00129513355266777
"267","2013-07-01",0.00780362403946455,0.00063928420328215
"268","2013-10-01",0.00795079785470243,0.00173711999993303
"269","2014-01-01",-0.00283105552461826,-6.86821124792035e-06
"270","2014-04-01",0.0134460092100372,0.00150258681903328
"271","2014-07-01",0.012135389912256,0.0002495632568682
"272","2014-10-01",0.00561215970671114,-0.0024171305669727
"273","2015-01-01",0.00944678812071231,-0.00486906230214083
"274","2015-04-01",0.00674334432288326,0.00145884675374791
"275","2015-07-01",0.00361948560406944,-0.00077993201894596
"276","2015-10-01",0.00160233940014187,-0.00379756178302158
"277","2016-01-01",0.0056481534475683,-0.00456118377931192
"278","2016-04-01",0.00311432880070761,0.00306154962000291
"279","2016-07-01",0.00542919575165257,-0.000435008935650779
"280","2016-10-01",0.00627326532807615,0.00109446517899575
"281","2017-01-01",0.00564075084264459,0.00130388175285615
"282","2017-04-01",0.00426035183042117,-0.000657894859671812
"283","2017-07-01",0.00726190458699172,0.00123456848481051
"284","2017-10-01",0.00951139618766739,0.00302581800547294
"285","2018-01-01",0.00927365790212065,0.00221257832086637
"286","2018-04-01",0.00666402608658601,0.0049325588313735
"287","2018-07-01",0.00523821264607527,0.000368451386733168
"288","2018-10-01",0.00327783631505696,0.00117244943419749
"289","2019-01-01",0.00722506186197336,-0.00099190901648661
"290","2019-04-01",0.00370030708000257,0.00289784837554227
"291","2019-07-01",0.00634895016469983,-1.71146467035539e-05
"292","2019-10-01",0.00584520197472216,0.000255227615866318
"293","2020-01-01",-0.0127069383194307,0.000674708459043744
"294","2020-04-01",-0.0941581281264661,-0.00869275730402029
"295","2020-07-01",0.0721228847337194,0.00564835005056063
